DATA,MODEL,OPTIM,EXECUTION,EPOCH,TRAIN LOSS,TRAIN ACC1,VALID LOSS,VALID ACC1
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nf_a35_b0.9,1,96,0.006032244216650724,99.88,1.4407977478504181,74.1
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nf_a35_b0.9,2,96,0.006459613145887852,99.94,1.443314263343811,73.625
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nf_a35_b0.9,3,95,0.007603371842205524,99.83999999999999,1.493798686504364,73.0
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nf_a35_b0.9,4,95,0.006407806311547757,99.83999999999999,1.416687674999237,74.1375
stl10,resnet34,sigx_l0.1_e100_w0.0001_m0.9_nf_a35_b0.9,5,97,0.0067943711295723914,99.83999999999999,1.5789362921714782,73.7625
