DATA,MODEL,OPTIM,EXECUTION,EPOCH,TRAIN LOSS,TRAIN ACC1,VALID LOSS,VALID ACC1
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,91,0.001474408118869178,99.97200000000001,0.340162817043066,93.6
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,2,95,0.0017257610064418986,99.97,0.33443726792931555,93.74
