DATA,MODEL,OPTIM,EXECUTION,EPOCH,TRAIN LOSS,TRAIN ACC1,VALID LOSS,VALID ACC1
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,99,0.040677931925058364,98.598,0.5437136051654816,88.9
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,2,96,0.04106899002954364,98.568,0.514386748996377,89.16
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,3,93,0.05041281716823578,98.284,0.5002343966960907,88.94999999999999
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,4,93,0.046195001111626624,98.398,0.503350034737587,89.18
